회사명	18_fscore	17_fscore
현대미포조선	6	6
현대백화점	6	6
진양산업	6	6
LS산전	6	6
케이씨씨	6	6
엑사이엔씨	6	6
에코프로	6	6
풍국주정	6	6
지투알	6	6
와이비엠넷	6	6
대원산업	6	6
원일특강	6	6
동아지질	6	6
NHN벅스	6	6
시그네틱스	6	6
테스	6	6
대봉엘에스	6	6
HDC현대EP	6	6
매커스	6	6
동성화학	6	6
넥스트아이	6	6
브이원텍	6	6
로스웰	6	6
액트로	6	6
디엠티	6	6
클리오	6	6
디지털대성	6	6
신영와코루	6	6
한국정보통신	6	6
가온전선	6	6
체시스	6	6
빛샘전자	6	6
서울도시가스	6	6
현대공업	6	6
다원시스	6	6
나노엔텍	6	6
SBS콘텐츠허브	6	6
미코	6	6
KISCO홀딩스	6	6
메디아나	6	6
일신바이오	6	6
코콤	6	6
파크시스템스	6	6
하나마이크론	6	6
스킨앤스킨	6	6
한독	6	6
뉴트리	6	6
플랜티넷	6	6
에이스테크	6	6
메가스터디교육	6	6
한국타이어	6	6
영풍	6	6
에이프로젠 H&G	6	6
송원산업	6	6
필링크	6	6
캠시스	6	6
푸른기술	6	6
세방전지	6	6
신한	6	6
케어젠	6	6
무림P&P	6	6
DSR	6	6
대창	6	6
KNN	6	6
포스코케미칼	6	6
한익스프레스	6	6
큐브엔터	6	6
좋은사람들	6	6
포스코	6	6
인팩	6	6
인텔리안테크	6	6
인베니아	6	6
동성코퍼레이션	6	6
서희건설	6	6
삼영엠텍	6	6
에이티세미콘	6	6
삼성전자	6	6
방림	6	6
하이트진로	6	6
조광ILI	6	6
광명전기	6	6
대주전자재료	6	6
이스트소프트	6	6
AJ네트웍스	6	6
한국콜마홀딩스	6	6
프로텍	6	6
오로라	6	6
보라티알	6	6
삼호개발	6	6
안국약품	6	6
S&T모티브	6	6
제노레이	6	6
쌍방울	6	6
콤텍시스템	6	6
대원화성	6	6
한국정보인증	6	6
바디텍메드	6	6
진로발효	6	6
예림당	6	6
성우하이텍	6	6
켐트로닉스	6	6
한국프랜지공업	6	6
시스웍	6	6
노루페인트	6	6
유아이엘	6	6
JYP Ent.	6	6
지니언스	6	6
대진디엠피	6	6
현대제철	6	6
현우산업	6	6
종근당	6	6
연우	6	6
유니셈	6	6
넥스트리밍	6	6
케이씨티시	6	6
대한방직	6	6
DB하이텍	6	6
에이엔피	6	6
하이비젼시스템	6	6
오스코텍	6	6
뉴파워프라즈마	6	6
코리아써키트	6	6
에스폴리텍	6	6
이녹스첨단소재	6	6
휴맥스	6	6
3S	6	6
SK이노베이션	6	6
에너토크	6	6
한일단조	6	6
디와이파워	6	6
한진중공업	6	6
삼화전자공업	6	6
에스피지	6	6
휴스틸	6	6
이그잭스	6	6
AP시스템	6	6
인디에프	6	6
태경산업	6	6
YTN	6	6
동아에스티	6	6
유니드	6	6
유수홀딩스	6	6
케이피에프	6	6
딜리	6	6
디아이	6	6
우수AMS	6	6
세보엠이씨	6	6
KSS해운	6	6
엠에스오토텍	6	6
선광	6	6
엘티씨	6	6
파인디앤씨	6	6
한진칼	6	6
KG모빌리언스	6	6
스타플렉스	6	6
엠아이텍	6	6
세종텔레콤	6	6
대우건설	6	6
유니크	6	6
에스코넥	6	6
SK하이닉스	6	6
정산애강	6	6
안랩	6	6
영흥철강	6	6
경창산업	6	6
인포마크	6	6
서진시스템	6	6
엘컴텍	6	6
나스미디어	6	6
국제약품	6	6
아이에스동서	6	6
AK홀딩스	6	6
현대건설	6	6
민앤지	6	6
영원무역	6	6
노랑풍선	6	6
CJ CGV	6	6
모바일리더	6	6
차바이오텍	6	6
삼성SDI	6	6
한올바이오파마	6	6
삼보산업	6	6
이글루시큐리티	6	6
쌍용양회공업	6	6
네오위즈홀딩스	6	6
케이티	6	6
