회사명	18_fscore	17_fscore
JW신약	3	3
웰크론	3	3
기가레인	3	3
NEW	3	3
티엘아이	3	3
브레인콘텐츠	3	3
엔에스엔	3	3
엔브이에이치코리아	3	3
링크제니시스	3	3
서진오토모티브	3	3
파티게임즈	3	3
케이엠더블유	3	3
코프라	3	3
금호산업	3	3
다우기술	3	3
동아쏘시오홀딩스	3	3
SM Life Design	3	3
현대종합상사	3	3
서플러스글로벌	3	3
아이엠	3	3
에스에이엠티	3	3
웹스	3	3
예스코홀딩스	3	3
효성티앤씨	3	3
W홀딩컴퍼니	3	3
동일산업	3	3
상보	3	3
주연테크	3	3
에코플라스틱	3	3
셀트리온제약	3	3
씨아이에스	3	3
씨씨에스	3	3
더블유에프엠	3	3
액토즈소프트	3	3
파마리서치프로덕트	3	3
남양유업	3	3
제이씨현시스템	3	3
대구백화점	3	3
대동전자	3	3
코스메카코리아	3	3
캐스텍코리아	3	3
코위버	3	3
에치에프알	3	3
바이오제네틱스	3	3
이랜텍	3	3
한국코퍼레이션	3	3
현대글로비스	3	3
쎄미시스코	3	3
마이크로컨텍솔	3	3
일신방직	3	3
MH에탄올	3	3
한국타이어월드와이드	3	3
CJ ENM	3	3
무학	3	3
두올산업	3	3
갤럭시아에스엠	3	3
바른손이앤에이	3	3
포비스티앤씨	3	3
동화약품	3	3
큐에스아이	3	3
알루코	3	3
SK디앤디	3	3
STX	3	3
서울전자통신	3	3
보해양조	3	3
세종공업	3	3
계양전기	3	3
WI	3	3
한국화장품	3	3
뉴인텍	3	3
원익IPS	3	3
아미코젠	3	3
코나아이	3	3
테라셈	3	3
오리엔탈정공	3	3
미래SCI	3	3
유티아이	3	3
골프존뉴딘홀딩스	3	3
디에스티	3	3
현성바이탈	2	2
텔레필드	2	2
현대위아	2	2
HRS	2	2
에이치엘비생명과학	2	2
웨이브일렉트로	2	2
예스티	2	2
라이브플렉스	2	2
셀바스AI	2	2
진매트릭스	2	2
휴젤	2	2
솔고바이오	2	2
금호전기	2	2
효성첨단소재	2	2
본느	2	2
EG	2	2
HB테크놀러지	2	2
에이앤티앤	2	2
게임빌	2	2
영우디에스피	2	2
코아시아	2	2
원림	2	2
동국제약	2	2
엘앤에프	2	2
알파홀딩스	2	2
현대엘리베이터	2	2
파루	2	2
우리들제약	2	2
유틸렉스	2	2
퓨쳐켐	2	2
넥스트사이언스	2	2
코디엠	2	2
씨케이에이치	2	2
스맥	2	2
인성정보	2	2
바른전자	2	2
제주반도체	2	2
이엘케이	2	2
현대일렉트릭	2	2
하림지주	2	2
삼강엠앤티	2	2
아이에이치큐	2	2
현대상선	2	2
KC코트렐	2	2
KCC건설	2	2
CNH	2	2
체리부로	2	2
씨티케이코스메틱스	2	2
이지바이오	2	2
마이크로텍	2	2
지티지웰니스	2	2
GV	2	2
대주산업	2	2
파인텍	2	2
우신시스템	2	2
케이엠	2	2
대한광통신	2	2
엔터메이트	2	2
깨끗한나라	2	2
벽산	2	2
멕아이씨에스	2	2
바이로메드	2	2
필룩스	2	2
에스디생명공학	2	2
갤럭시아컴즈	2	2
뉴로스	2	2
유테크	2	2
한국컴퓨터	2	2
다날	2	2
라이트론	2	2
고려산업	2	2
아가방컴퍼니	2	2
코리아에스이	2	2
화진	2	2
유니퀘스트	2	2
경동나비엔	2	2
한일사료	2	2
파인넥스	2	2
루멘스	2	2
화이브라더스코리아	2	2
유니온머티리얼	2	2
한미글로벌	2	2
폴루스바이오팜	2	2
웅진	2	2
신원종합개발	2	2
디자인	2	2
코센	2	2
에이프로젠 KIC	2	2
포스링크	2	2
에이치케이	2	2
인지컨트롤스	2	2
앤디포스	2	2
덕성	2	2
백산	2	2
풍산홀딩스	2	2
삼지전자	2	2
데코앤이	2	2
서울리거	2	2
신화인터텍	2	2
SG	2	2
제이엠아이	2	2
에이테크솔루션	2	2
컨버즈	2	2
현진소재	2	2
인화정공	2	2
현대로템	2	2
덴티움	2	2
한국제지	2	2
피엔티	2	2
아이엠텍	2	2
데일리블록체인	2	2
효성중공업	2	2
로고스바이오	2	2
미래산업	2	2
디이엔티	2	2
에치디프로	2	2
세원정공	2	2
삼천리자전거	2	2
조이시티	2	2
로보스타	2	2
디엔에이링크	2	2
모다	2	2
디지탈옵틱	2	2
유니슨	2	2
APS홀딩스	2	2
퍼시픽바이오	2	2
씨엔플러스	2	2
초록뱀	2	2
에이치엘비파워	2	2
홈캐스트	2	2
제노포커스	2	2
내츄럴엔도텍	2	2
인트로메딕	2	2
씨티젠	2	2
바이오빌	2	2
캔서롭	2	2
성창기업지주	2	2
비씨월드제약	2	2
신라젠	2	2
넥슨지티	2	2
동양네트웍스	1	1
엠젠플러스	1	1
KJ프리텍	1	1
크로바하이텍	1	1
하림	1	1
지투하이소닉	1	1
팜스토리	1	1
코미팜	1	1
포티스	1	1
한프	1	1
육일씨엔에쓰	1	1
메디파트너생명공학	1	1
유양디앤유	1	1
썸에이지	1	1
액션스퀘어	1	1
우리들휴브레인	1	1
자이글	1	1
팜스코	1	1
우성사료	1	1
에코마이스터	1	1
조광페인트	1	1
아이오케이	1	1
가온미디어	1	1
SGA솔루션즈	1	1
인텍플러스	1	1
비디아이	1	1
인터불스	1	1
프로스테믹스	1	1
엔시트론	1	1
셀바스헬스케어	1	1
국순당	1	1
동양에스텍	1	1
셀루메드	1	1
흥아해운	1	1
일진전기	1	1
일정실업	1	1
이노인스트루먼트	1	1
스포츠서울	1	1
비트컴퓨터	1	1
특수건설	1	1
소리바다	1	1
제일파마홀딩스	1	1
삼일제약	1	1
루트로닉	1	1
토니모리	1	1
넵튠	1	1
팍스넷	1	1
인콘	1	1
광진윈텍	1	1
셀트리온헬스케어	0	0
필옵틱스	0	0
케이프	0	0
에이블씨엔씨	0	0
모트렉스	0	0
제이준코스메틱	0	0
삼화네트웍스	0	0
파라텍	0	0
테라젠이텍스	0	0
코스온	0	0
에스트래픽	0	0
