code,market_type,date,present_value,quant,buy_total,sell_total,market_sum,per,pbr
000210,0,2018-04-30,86000,1092582,27909,16701,29928,6.77,0.66
028670,0,2018-04-30,5500,3502396,234831,331737,29400,20.52,1.23
006360,0,2018-04-30,40800,3415109,15381,56208,29251,-17.3,0.9
102110,0,2018-04-30,32265,955907,117378,35005,28797,,
010140,0,2018-04-30,7350,3923999,438685,138004,28665,-9.6,0.53
007070,0,2018-04-30,37200,903251,15285,23929,28644,24.23,1.41
000100,0,2018-04-30,229000,58940,8683,4962,27959,26.14,1.63
017800,0,2018-04-30,104000,2923731,121155,148820,27839,27.36,3.06
047050,0,2018-04-30,22550,620138,92144,52314,27821,15.62,0.99
011070,0,2018-04-30,116500,235308,65723,47763,27572,15.78,1.41
026960,0,2018-04-30,27550,45866,6375,18201,27467,22.45,2.23
009240,0,2018-04-30,116500,110776,18620,20681,27417,28.57,4.05
007310,0,2018-04-30,794000,4331,618,1205,27314,20.81,2.44
047040,0,2018-04-30,6350,9782352,126040,131351,26392,10.19,1.16
039490,0,2018-04-30,118500,146259,14764,10168,26188,10.9,1.72
005385,0,2018-04-30,103000,92457,14232,11725,25863,7.29,0.4
042660,0,2018-04-30,24000,1255918,15252,11831,25729,3.22,0.75
006280,0,2018-04-30,216500,39166,3668,6020,25301,47.52,2.38
008560,0,2018-04-30,4165,1672703,295240,93093,25225,7.45,0.87
122630,0,2018-04-30,17200,9420624,304447,333891,25215,,
006260,0,2018-04-30,77900,250695,12947,6761,25084,8.45,0.79
069960,0,2018-04-30,103500,127901,18181,42378,24222,9.55,0.59
000150,0,2018-04-30,121000,167139,8219,15604,23230,75.91,0.96
000060,0,2018-04-30,20950,100749,17474,6185,23116,6.02,1.29
051600,0,2018-04-30,50700,202056,16859,18061,22815,16.78,2.52
064350,0,2018-04-30,26700,11217693,367629,0,22695,-47.94,1.69
030000,0,2018-04-30,19100,241279,53200,57263,21973,17.29,2.29
042670,0,2018-04-30,10250,11514425,562766,860483,21335,14.32,1.34
204320,0,2018-04-30,227000,76091,5580,4950,21319,445.97,1.57
069620,0,2018-04-30,178000,105761,12481,5813,20624,65.3,3.54
010120,0,2018-04-30,68600,352553,8831,11515,20580,19.58,1.76
139130,0,2018-04-30,12000,613087,72508,177108,20297,6.72,0.52
004370,0,2018-04-30,324000,31779,2188,3765,19708,21.74,1.02
138040,0,2018-04-30,13950,62665,15798,14422,19561,5.39,0.94
034020,0,2018-04-30,17900,2354017,92216,294824,19057,-7.32,0.63
011200,0,2018-04-30,6070,68931886,433899,332999,18927,-1.08,2.13
090435,0,2018-04-30,178500,9046,2953,3188,18846,31.27,2.96
267270,0,2018-04-30,190000,243796,3312,29020,18765,24.84,1.59
005250,0,2018-04-30,38200,31702,6775,5911,17965,43.66,2.13
006650,0,2018-04-30,275500,23404,1222,2279,17908,8.36,1.15
010620,0,2018-04-30,89500,158141,7103,3787,17900,4.1,0.81
004000,0,2018-04-30,68600,70478,9302,14406,17699,19.83,1.46
071840,0,2018-04-30,74500,51692,3219,8354,17588,11.85,0.87
120110,0,2018-04-30,68400,95383,9182,12093,17551,14.16,0.89
161890,0,2018-04-30,81800,85514,8025,11616,17263,36.52,5.66
000240,0,2018-04-30,18300,84652,13108,17585,17023,10.04,0.57
114090,0,2018-04-30,27300,347681,19680,34695,16887,20.97,3.17
051905,0,2018-04-30,770000,2518,242,382,16168,22.49,4.3
009420,0,2018-04-30,30550,622419,63605,29772,15960,275.23,14.06
081660,0,2018-04-30,130500,107135,5238,16502,15951,25.34,2.0
051915,0,2018-04-30,206000,5197,1223,1367,15839,8.29,0.98
192820,0,2018-04-30,157000,55417,8035,17865,15778,83.69,7.23
079160,0,2018-04-30,74300,162563,8169,8888,15723,-1125.76,5.11
003520,0,2018-04-30,8580,1833963,187149,49190,15692,858.0,13.12
000670,0,2018-04-30,844000,1029,238,474,15547,6.36,0.49
020150,0,2018-04-30,33450,360329,13738,14230,15387,33.45,2.9
001800,0,2018-04-30,24500,61196,22890,20679,15348,0.7,0.8
000080,0,2018-04-30,21800,157518,37310,50396,15289,122.47,1.25
005440,0,2018-04-30,15400,136635,37554,103196,15046,13.26,0.8
233740,0,2018-04-30,21020,9458789,58369,24573,14672,,
012510,0,2018-04-30,49400,121882,5291,5804,14658,36.59,7.96
011210,0,2018-04-30,53700,162796,21372,12908,14604,-23.18,0.45
180640,0,2018-04-30,24500,560112,29606,27888,14497,6.59,0.96
003240,0,2018-04-30,1298000,617,121,48,14452,10.41,0.4
001440,0,2018-04-30,1685,8144230,110460,998563,14432,-33.04,4.4
011790,0,2018-04-30,38100,58662,14548,4805,14301,13.0,0.93
003690,0,2018-04-30,11800,274141,49973,78142,14204,10.68,0.63
052690,0,2018-04-30,36850,698476,16416,8923,14084,66.4,3.07
001740,0,2018-04-30,5620,1085130,61626,69484,13948,41.63,0.57
148020,0,2018-04-30,32405,370832,93297,107201,13853,,
039130,0,2018-04-30,119000,93119,10317,18761,13823,106.63,6.43
082640,0,2018-04-30,8240,99430,14217,10718,13296,6.45,0.53
214320,0,2018-04-30,66400,33549,2848,3308,13280,21.6,1.98
111770,0,2018-04-30,29900,100723,9678,7530,13249,12.19,1.07
226320,0,2018-04-30,59700,102665,4493,4097,13092,44.39,2.41
057050,0,2018-04-30,108500,35044,14475,8458,13020,10.63,0.82
115390,0,2018-04-30,23600,87071,20389,16865,12980,37.17,2.0
005300,0,2018-04-30,1620000,1062,217,106,12949,15.05,1.01
089590,0,2018-04-30,48950,75818,1236,9215,12902,16.57,3.87
003000,0,2018-04-30,26000,433270,59750,21023,12706,114.54,5.83
012450,0,2018-04-30,24100,1117350,82158,62178,12677,-26.4,0.58
003300,0,2018-04-30,166000,42928,2458,5028,12525,21.92,0.75
102780,0,2018-04-30,7220,63249,178337,92998,12151,,
027410,0,2018-04-30,12700,507826,60946,70819,12112,0.17,0.58
181710,0,2018-04-30,61600,86371,8752,3202,12052,72.56,0.79
018250,0,2018-04-30,45200,315917,2629,6948,11851,25.32,8.18
002350,0,2018-04-30,12050,75657,22678,46301,11769,9.98,0.93
285130,0,2018-04-30,101500,86296,18597,18509,11754,-13.17,1.9
153130,0,2018-04-30,100610,26196,49220,51324,11697,,
185750,0,2018-04-30,117000,52392,15171,6397,11559,21.48,2.88
014820,0,2018-04-30,45050,18639,1885,1029,11541,16.36,2.99
214980,0,2018-04-30,100655,5522,21444,12450,11425,,
006040,0,2018-04-30,338000,2416,215,1582,11368,6.81,1.25
005610,0,2018-04-30,129000,5499,2014,4022,11131,29.16,3.73
020560,0,2018-04-30,5300,2081437,79258,279782,10877,4.32,0.95
069260,0,2018-04-30,26600,57328,3743,23327,10874,9.51,1.75
023590,0,2018-04-30,24150,242951,17759,22172,10835,9.46,0.99
003090,0,2018-04-30,18600,384025,14932,6912,10814,16.33,1.47
006490,0,2018-04-30,12200,7481849,232571,125596,10718,-2033.33,29.62
103140,0,2018-04-30,38150,129598,13998,10343,10691,7.1,0.82
001230,0,2018-04-30,11000,1898553,112161,115250,10498,234.04,0.46
001120,0,2018-04-30,26450,285620,60667,16903,10252,17.03,0.86
005690,0,2018-04-30,17300,6118603,110993,145951,10114,-25.78,18.04
282000,0,2018-04-30,100295,7,15000,11993,10107,,
010780,0,2018-04-30,32700,229666,2150,9461,10081,5.16,0.95
