,code,m_ics,w_ics,year,total_asset,lt_debt,lt_borrowing,current_asset,current_liabilities,shareholder_equity,stock_issued,intangible_asset,operating_income,extra_income,total_sales,gross_profit,cogs,cf_operation
2645,077360,금융,반도체와반도체장비,2012,1982.3,21.8,0.0,891.3,137.6,1822.9,29392.0,341.9,416.6,-2.7,1438.3,595.9,842.4,1438.3
2646,077360,금융,반도체와반도체장비,2013,2465.2,94.3,0.0,975.4,120.8,2250.1,29392.0,728.6,167.3,3.9,686.3,247.4,438.9,686.3
2647,077360,금융,반도체와반도체장비,2014,1996.0,127.4,46.5,804.2,389.3,1479.2,17385.0,410.8,56.7,-1.5,582.1,183.9,398.2,582.1
2648,077360,금융,반도체와반도체장비,2015,2185.4,171.0,109.2,508.3,187.6,1826.8,22719.0,251.2,95.7,2.8,514.3,196.6,317.7,514.3
2649,077360,금융,반도체와반도체장비,2016,1834.9,25.0,0.0,465.4,140.6,1669.3,22719.0,14.1,53.5,-6.3,428.3,127.8,300.5,428.3
2650,073560,농업,식품,2012,1099.8,67.5,47.4,172.6,358.7,673.6,5724.0,0.5,-24.8,15.1,65.0,-18.0,83.0,65.0
2651,073560,농업,식품,2013,1078.4,175.5,155.6,146.8,334.7,568.3,3724.0,0.4,-4.4,3.3,221.6,9.1,212.4,221.6
2652,073560,농업,식품,2014,2202.8,288.6,189.6,788.3,1258.2,656.0,3724.0,2.4,339.1,-3.0,1662.3,478.7,1183.6,1662.3
2653,073560,농업,식품,2015,2381.3,543.0,285.4,700.8,907.2,931.0,51599.0,1.8,263.3,13.8,1550.2,405.1,1145.2,1550.2
2654,073560,농업,식품,2016,2658.6,476.8,286.6,847.3,800.5,1381.3,69238.0,1.4,271.5,1.2,1867.0,445.3,1421.7,1867.0
2655,079370,"기계,장비",반도체와반도체장비,2012,1615.8,102.9,51.0,1055.6,516.1,996.8,9440.0,26.1,29.0,-0.5,1557.4,422.1,1135.3,1557.4
2656,079370,"기계,장비",반도체와반도체장비,2013,2146.7,158.3,120.4,1561.1,850.0,1138.4,9440.0,29.3,226.4,7.2,2049.5,652.3,1397.2,2049.5
2657,079370,"기계,장비",반도체와반도체장비,2014,2369.5,253.6,218.3,1469.0,778.8,1337.0,9440.0,63.1,205.2,7.5,2409.8,644.7,1765.1,2409.8
2658,079370,"기계,장비",반도체와반도체장비,2015,2521.8,222.5,179.9,1553.3,763.1,1536.3,10384.0,61.4,243.7,2.5,2901.3,749.2,2152.2,2901.3
2659,079370,"기계,장비",반도체와반도체장비,2016,2908.1,244.7,201.4,1924.8,949.1,1714.4,10384.0,58.9,240.3,5.2,2908.5,759.2,2149.2,2908.5
2660,041440,"기계,장비",기계,2012,2278.8,116.2,36.7,1535.6,985.1,1177.5,17916.0,47.2,187.3,-4.8,2292.7,513.3,1779.5,2292.7
2661,041440,"기계,장비",기계,2013,2695.7,153.0,42.0,1859.0,1196.5,1346.2,17916.0,59.3,202.6,0.6,2976.7,580.6,2396.1,2976.7
2662,041440,"기계,장비",기계,2014,3113.2,168.9,17.5,2245.9,1545.5,1398.8,17916.0,59.2,206.2,-1.0,3161.2,590.8,2570.4,3161.2
2663,041440,"기계,장비",기계,2015,2854.2,167.7,91.9,1963.8,1177.2,1509.3,17916.0,66.4,177.4,1.3,3278.2,589.4,2688.8,3278.2
2664,041440,"기계,장비",기계,2016,2623.9,85.9,46.6,1754.4,865.0,1673.0,17916.0,56.8,256.5,-4.4,3373.5,638.1,2735.4,3373.5
2665,068790,"기계,장비",디스플레이장비및부품,2012,2822.6,421.6,292.1,1169.2,1249.8,1151.3,19887.0,277.5,-122.9,-297.7,914.7,172.0,742.7,914.7
