,code,year,f_roa,f_cfo,f_droa,f_accrual,f_dlever,f_dliquid,f_equityoffer,f_dmargin,f_dturnover,f_total
559,006120,2016,1,1,1,1,1,1,1,0,1,8
564,072710,2016,1,1,1,1,1,1,1,1,1,9
569,192400,2016,1,1,0,1,0,1,1,1,0,6
574,009290,2016,1,1,0,1,1,1,1,0,0,6
579,034120,2016,0,1,0,1,1,1,1,0,0,5
584,004490,2016,1,1,0,1,1,1,1,0,0,6
589,003920,2016,1,1,1,1,1,1,1,0,0,7
594,070960,2016,1,1,0,1,1,1,0,0,1,6
599,027410,2016,1,1,0,1,0,1,0,0,0,4
604,126560,2016,1,1,1,1,1,1,0,0,0,6
609,101060,2016,1,1,0,1,0,1,1,0,1,6
614,004690,2016,1,1,0,1,0,1,1,1,0,6
619,004130,2016,1,1,0,1,0,1,1,0,0,5
624,008060,2016,1,1,1,1,0,1,1,1,0,7
629,017390,2016,0,1,0,1,0,1,1,1,0,5
634,014830,2016,1,1,1,1,0,1,1,1,0,7
639,016450,2016,1,1,0,1,1,1,1,0,0,6
644,005810,2016,1,1,1,1,1,1,1,1,1,9
649,183190,2016,1,1,0,1,1,1,1,0,0,6
654,015350,2016,1,1,1,1,0,1,1,1,0,7
659,079980,2016,1,1,0,1,1,1,1,0,0,6
664,005720,2016,1,1,1,1,1,1,0,1,0,7
669,017940,2016,1,1,0,1,1,1,1,1,0,7
674,016800,2016,1,1,0,1,1,1,1,0,0,6
679,000050,2016,1,1,1,1,1,1,0,1,1,8
684,097230,2016,0,1,1,1,0,1,0,1,1,6
689,001630,2016,1,1,0,1,1,1,0,0,0,5
694,037710,2016,1,1,1,1,1,1,1,1,1,9
699,002000,2016,1,1,0,1,1,1,1,1,1,8
704,213500,2016,1,1,0,1,1,1,0,1,0,6
709,084690,2016,1,1,0,1,0,1,1,0,0,5
714,122900,2016,1,1,0,1,1,1,1,0,0,6
719,095570,2016,1,1,0,1,0,1,0,0,0,4
724,002990,2016,1,1,1,1,0,1,0,1,1,7
729,007690,2016,1,1,0,1,0,1,1,0,0,5
734,007160,2016,1,1,1,1,0,1,1,0,1,7
739,009680,2016,1,1,0,1,1,1,1,0,0,6
744,044820,2016,0,0,0,0,0,0,1,0,0,1
749,000480,2016,1,1,1,1,1,1,1,1,1,9
754,152330,2016,1,1,1,1,0,1,1,1,0,7
759,009580,2016,1,1,0,1,1,1,1,0,0,6
764,104700,2016,1,1,0,1,0,1,1,0,0,5
769,007340,2016,1,1,0,1,1,1,1,1,0,7
774,001390,2016,1,1,0,1,1,1,0,1,0,6
779,025000,2016,1,1,0,1,0,1,1,1,0,6
784,002320,2016,0,1,0,1,1,1,1,0,0,5
789,003120,2016,1,1,0,1,1,1,1,1,1,8
794,001250,2016,1,1,1,1,1,1,0,1,1,8
799,017960,2016,1,1,1,1,0,1,0,1,1,7
804,082740,2016,1,1,1,1,1,1,1,1,1,9
809,002810,2016,1,1,1,1,0,1,1,1,0,7
814,102260,2016,1,1,0,1,1,1,1,1,0,7
819,000430,2016,1,1,1,1,1,1,1,1,1,9
