,code,year,cal_roa,cal_cfo,delta_roa,accrual,delta_lever,delta_liquid,eq_offer,delta_margin,delta_turn
0,005380,2012,,,,,,,,,
1,005380,2013,0.06841903766408165,0.7183578509436692,,-0.6499388132795876,,1.180384953733872,,,
2,005380,2014,0.056587514993837566,0.6689801372312764,-0.011831522670244086,-0.6123926222374388,,1.2088544321194599,0.0,-0.00842726654524209,-0.04937771371239286
3,005380,2015,0.04318495376332517,0.6246131095019655,-0.013402561230512394,-0.5814281557386403,0.014216780774796378,1.0615916815646904,0.0,-0.01578753245896672,-0.04436702772931089
4,005380,2016,0.03140572281388262,0.5663069536751226,-0.011779230949442554,-0.53490123086124,-0.0010643405500365688,1.0911313721070428,0.0,-0.009650152286858366,-0.05830615582684284
5,005490,2012,,,,,,,,,
6,005490,2013,0.0377984970829178,0.7804704043418446,,-0.7426719072589267,,1.564446405245549,,,
7,005490,2014,0.03805001953101643,0.7708026045933588,0.00025152244809863167,-0.7327525850623424,,1.4914003330436836,0.0,0.0009946430709831394,-0.00966779974848575
8,005490,2015,0.028269544341217357,0.6825907188051636,-0.009780475189799073,-0.6543211744639463,-0.029517939953607297,1.4495549882692953,0.0,0.00040426724282943693,-0.08821188578819517
9,005490,2016,0.035373260326362455,0.6601707326415679,0.0071037159851450975,-0.6247974723152054,0.003814588079365633,1.549204880679235,0.0,0.013732245362721163,-0.02241998616359575
10,028260,2012,,,,,,,,,
11,028260,2013,0.016724653696240304,0.4856849068619407,,-0.4689602531657004,,0.9522810982300982,,,
12,028260,2014,0.024948882905905967,0.5996757031011621,0.008224229209665663,-0.5747268201952562,,1.5646285380153926,132500.0,0.13731623187340844,0.11399079623922143
13,028260,2015,0.003904775622593027,1.40301510918968,-0.02104410728331294,-1.3991103335670871,0.01819937234165747,0.8319499707450656,56317.0,-0.15748300594645284,0.803339406088518
14,028260,2016,0.003293562091742418,0.6634025338615811,-0.0006112135308506093,-0.6601089717698387,-0.14675184104060007,0.9084389950322851,0.0,-0.04225380436682158,-0.739612575328099
15,012330,2012,,,,,,,,,
16,012330,2013,0.09732752021832462,1.138169867208041,,-1.0408423469897163,,2.1641782704901544,,,
17,012330,2014,0.09123472893505752,1.020223460085024,-0.006092791283267104,-0.9289887311499665,,2.2384628474479844,-21.0,0.0051142081447895504,-0.11794640712301696
18,012330,2015,0.07503006755996637,0.920940470322091,-0.016204661375091148,-0.8459104027621247,0.0032040355829658085,1.9208261867025627,0.0,-0.0029326705609387105,-0.09928298976293293
19,012330,2016,0.0768948530013239,1.01289006462769,0.0018647854413575277,-0.935995211626366,0.009649071103042306,2.067506206549905,0.0,-0.004508931949275263,0.0919495943055989
20,015760,2012,,,,,,,,,
21,015760,2013,0.010393025601558699,0.3697349117177486,,-0.3593418861161899,,0.7553771300370785,,,
22,015760,2014,0.03721255936175333,0.36954842599046744,0.02681953376019463,-0.3323358666287141,,0.7786946986745876,0.0,0.07048002619823436,-0.00018648572728113821
23,015760,2015,0.06931066227617429,0.36013887873363043,0.03209810291442096,-0.29082821645745616,-0.04763679890787248,0.9698157355694461,0.0,0.09479833689750025,-0.009409547256837014
24,015760,2016,0.06847986298549744,0.3434399559596242,-0.0008307992906768508,-0.2749600929741267,-0.04578510192192131,0.796650906273154,0.0,0.014264548964206342,-0.016698922774006253
25,034730,2012,,,,,,,,,
26,034730,2013,0.04396541962288021,0.44938676058867855,,-0.40542134096579835,,1.1318468638700885,,,
27,034730,2014,0.05130239772677893,0.4583415990765039,0.007336978103898717,-0.407039201349725,,1.447441962125115,0.0,-0.883551733945597,0.008954838487825356
28,034730,2015,0.2650724320902047,7.4051693599445265,0.2137700343634258,-7.140096927854322,0.21161728322362366,1.1483761919679991,20926.0,-0.01678295199085056,6.946827760868023
29,034730,2016,0.05482739426293965,0.8653026306217255,-0.21024503782726506,-0.8104752363587858,-0.28052772433846546,1.1300094266001455,0.0,0.01810669750962443,-6.539866729322801
30,017670,2012,,,,,,,,,
31,017670,2013,0.07857261181236119,0.6486300749036161,,-0.5700574630912549,,0.8441644890117675,,,
32,017670,2014,0.06867377670214159,0.6458257138255874,-0.009898835110219606,-0.5771519371234458,,0.9377969156745648,0.0,0.0,-0.0028043610780287276
33,017670,2015,0.06112866183772153,0.6133133723891181,-0.007545114864420055,-0.5521847105513966,0.01453227038757643,0.981689302176928,0.0,0.0,-0.032512341436469305
34,017670,2016,0.053732166280226396,0.5980052054851076,-0.007396495557495136,-0.5442730392048812,0.01049432356730462,0.9305612886205987,0.0,0.0,-0.01530816690401049
35,096770,2012,,,,,,,,,
36,096770,2013,0.041571832764428454,1.9520307953514933,,-1.9104589625870647,,1.4570878713454805,,,
37,096770,2014,-0.005180103528392947,1.866330942305605,-0.0467519362928214,-1.8715110458339979,,1.305612556299196,0.0,-0.025028984032852895,-0.08569985304588834
38,096770,2015,0.05639561600407506,1.3776215189689502,0.06157571953246801,-1.3212259029648752,-0.011770319939981955,1.7136593092349757,0.0,0.06147550391452522,-0.4887094233366547
39,096770,2016,0.1029450405359211,1.2602277307537284,0.04654942453184604,-1.1572826902178073,-0.03194118004617416,1.7155192839278663,0.0,0.039456442740507316,-0.11739378821522184
40,066570,2012,,,,,,,,,
41,066570,2013,0.03592614058830382,1.6329810260297042,,-1.5970548854414004,,1.0873224990009325,,,
42,066570,2014,0.05146805088710163,1.6618067521840483,0.015541910298797812,-1.6103387012969466,,1.1149268713274638,0.0,0.0006608334596827914,0.02882572615434409
